138,HOTONNES,01260,5.68333,46
139,INJOUX GENISSIAT,01200,5.78333,46.05
140,JASSERON,01250,5.33333,46.2167
141,JOURNANS,01250,5.33333,46.15
142,LA CHAPELLE DU CHATELARD,01240,5.03333,46.0667
143,LAIZ,01290,4.88333,46.25
144,LANCRANS,01200,5.83333,46.1333
145,LE GRAND ABERGEMENT,01260,5.66667,46.0333
146,LE PETIT ABERGEMENT,01260,5.65,46.0333
147,LEAZ,01200,5.88333,46.1
148,LENT,01240,5.2,46.1167
150,LOCHIEU,01260,5.71667,45.9333
151,LOMPNIEU,01260,5.65,45.9667
152,BELMONT LUTHEZIEU,01260,5.66167,45.8795
153,MARLIEUX,01240,5.06667,46.0667
155,MONTAGNAT,01250,5.28333,46.1667
156,MONTANGES,01200,5.8,46.1667
157,NIVOLLET MONTGRIFFON,01230,5.43333,45.9833
159,ONCIEU,01230,5.46667,45.95
160,ORNEX,01210,6.1,46.2833
161,CHAMPAGNE EN VALROMEY,01260,5.68333,45.9
162,PIRAJOUX,01270,5.3,46.3833
163,PONT DE VEYLE,01290,4.88333,46.2667
164,POUILLAT,01250,5.43333,46.3333
165,PREVESSIN MOENS,01280,6.08333,46.25
166,RAMASSE,01250,5.35,46.2
167,REVONNAS,01250,5.33333,46.1667
168,BOHAS MEYRIAT RIGNAT,01250,5.4,46.1333
169,HAUTECOURT ROMANECHE,01250,5.41667,46.1583
170,RUFFIEU,01260,5.66667,46
171,SALAVRE,01270,5.35,46.3667
172,SAUVERNY,01220,6.11667,46.3167
173,SIMANDRE SUR SURAN,01250,5.41667,46.2167
174,SONGIEU,01260,5.7,45.9667
175,ST ANDRE D HUIRIAT,01290,4.91667,46.2167
176,ST ANDRE LE BOUCHOUX,01240,5.08333,46.1167
177,ST GERMAIN SUR RENON,01240,5.05,46.0833
178,ST JEAN SUR VEYLE,01290,4.91667,46.25
179,ST JUST,01250,5.28,46.1903
180,ST PAUL DE VARAX,01240,5.13333,46.1
181,ST RAMBERT EN BUGEY,01230,5.43333,45.95
182,SUTRIEU,01260,5.65,45.95
183,TENAY,01230,5.5,45.9167
184,TORCIEU,01230,5.4,45.9167
185,TOSSIAT,01250,5.31667,46.1333
186,VERJON,01270,5.35,46.35
187,VERSONNEX,01210,6.09723,46.3023
188,VIEU,01260,5.68333,45.9
189,VILLEMOTIER,01270,5.31667,46.35
190,VILLEREVERSURE,01250,5.38333,46.1833
191,VILLES,01200,5.78333,46.0833
192,VIRIEU LE PETIT,01260,5.71667,45.9
193,CHATILLON EN MICHAILLE,01200,5.78333,46.1333
194,AMBERIEUX EN DOMBES,01330,4.9,46
195,AMBLEON,01300,5.6,45.75
196,ANDERT ET CONDON,01300,5.65,45.8
197,ANGLEFORT,01350,5.80833,45.9167
198,ARBIGNIEU,01300,5.65,45.7333
199,ATTIGNAT,01340,5.16667,46.2833
200,BAGE LA VILLE,01380,4.95,46.3167
201,BAGE LE CHATEL,01380,4.93333,46.3
202,BALAN,01360,5.1,45.8333
204,BELLEY,01300,5.68333,45.7667
205,BENY,01370,5.28333,46.3333
206,BEON,01350,5.75,45.8333
207,BEREZIAT,01340,5.05,46.3667
208,BIRIEUX,01330,5.03333,45.95
209,BOISSEY,01380,4.998976,46.372797
210,BOULIGNEUX,01330,5,46.0167
211,BREGNIER CORDON,01300,5.61667,45.65
212,BRENS,01300,5.69473,45.7187
215,CAMP DE LA VALBONNE,01360,5.09999990463257,45.7667007446289
216,CEYZERIEU,01350,5.73333,45.8333
217,CHALAMONT,01320,5.16667,46
219,CHATENAY,01320,5.2,46.0333
220,CHATILLON LA PALUD,01320,5.25,45.9667
221,CHAZEY BONS,01300,5.68333,45.8
222,CIVRIEUX,01390,4.88333,45.9167
223,COLOMIEU,01300,5.61667,45.7333
224,CONFRANCON,01310,5.06667,46.2667
225,CONTREVOZ,01300,5.63333,45.8
226,CONZIEU,01300,5.6,45.7333
227,BUELLAS,01310,5.13333,46.2
228,COURMANGOUX,01370,5.36667,46.3333
229,CRANS,01320,5.21667,45.9667
230,CRAS SUR REYSSOUZE,01340,5.16667,46.3
231,CRESSIN ROCHEFORT,01350,5.76667,45.7667
233,CULOZ,01350,5.78333,45.85
234,CURTAFOND,01310,5.08333,46.2667
235,CUZIEU,01300,5.67445,45.8192
236,DOMMARTIN,01380,4.99167,46.3417
237,ETREZ,01340,5.18333,46.3333
238,FLAXIEU,01350,5.73333,45.8167
239,FOISSIAT,01340,5.18333,46.3667
240,IZIEU,01300,5.63333,45.65
241,JAYAT,01340,5.11667,46.3667
242,BRESSOLLES,01360,5.1,45.8667
243,BELIGNEUX,01360,5.11667,45.8667
244,LAPEYROUSE,01330,4.96667,45.9833
245,LAVOURS,01350,5.76667,45.8
246,LE PLANTAY,01330,5.08333,46.0167
247,LOYETTES,01360,5.2,45.7667
248,MAGNIEU,01300,5.71667,45.7833
249,MALAFRETAZ,01340,5.15,46.3167
250,MARIGNIEU,01300,5.71667,45.8
251,MARSONNAS,01340,5.06667,46.3333
252,MASSIGNIEU DE RIVES,01300,5.76667,45.75
253,MEILLONNAS,01370,5.35,46.25
254,MIONNAY,01390,4.93333,45.9
255,MONTCET,01310,5.11667,46.2
256,MONTHIEUX,01390,4.93333,45.95
257,MONTRACOL,01310,5.11667,46.1833
258,MONTREVEL EN BRESSE,01340,5.13333,46.3333
259,MURS ET GELIGNIEUX,01300,5.66667,45.6333
260,NATTAGES,01300,5.76667,45.7333
261,PARVES,01300,5.75,45.75
262,PEYRIEU,01300,5.67751,45.6767
263,POLLIAT,01310,5.13333,46.25
264,POLLIEU,01350,5.75,45.8
265,PREMEYZEL,01300,5.65,45.6833
266,PRESSIAT,01370,5.38333,46.3333
267,RANCE,01390,4.86667,45.9667
